experiment,point,run,seed,method,n,m,d_or_h,k,total_s,ari,nmi,t_kmeans,t_affinity,t_spectral,t_propagate,t_laplacian,t_eigen,t_spectral_kmeans,status,error
n,50000,2,22190,cpu_8,50000,250,64,10,1.6806702613830566,0.7481405944644021,0.8699770309471644,,,,,,,,ok,
n,50000,2,22190,cpu_16,50000,250,64,10,0.9364166259765625,0.7131255542593882,0.8709172187547833,,,,,,,,ok,
n,50000,2,22190,cpu_36,50000,250,64,10,0.6199336051940918,0.7722682294372459,0.8874589156191656,,,,,,,,ok,
n,50000,3,22191,cpu_4,50000,250,64,10,3.29225754737854,0.6778847569560448,0.8555283341415478,,,,,,,,ok,
n,50000,3,22191,cpu_8,50000,250,64,10,1.6791131496429443,0.6646029346675721,0.844566066501136,,,,,,,,ok,
n,50000,3,22191,cpu_16,50000,250,64,10,0.9301612377166748,0.7773166124650763,0.8866160086556197,,,,,,,,ok,
n,50000,3,22191,cpu_36,50000,250,64,10,0.6203420162200928,0.6331253603213463,0.8203976035586591,,,,,,,,ok,
n,50000,4,22192,cpu_4,50000,250,64,10,3.288719654083252,0.6221895548895913,0.8398650507345492,,,,,,,,ok,
n,50000,4,22192,cpu_8,50000,250,64,10,1.6817162036895752,0.7369868740995683,0.8825045359076464,,,,,,,,ok,
n,50000,4,22192,cpu_16,50000,250,64,10,0.9475240707397461,0.7717993591655067,0.8900526351923573,,,,,,,,ok,
n,50000,4,22192,cpu_36,50000,250,64,10,0.6283268928527832,0.6304154202321655,0.8405781728659311,,,,,,,,ok,
n,100000,0,22188,cpu_4,100000,250,64,10,6.495728015899658,0.6333973114274514,0.8238193244124281,,,,,,,,ok,
n,100000,0,22188,cpu_8,100000,250,64,10,3.3235349655151367,0.7644066911897165,0.8830410609907402,,,,,,,,ok,
n,100000,0,22188,cpu_16,100000,250,64,10,1.8335325717926025,0.7851980445397551,0.899968806566698,,,,,,,,ok,
n,100000,0,22188,cpu_36,100000,250,64,10,1.2051568031311035,0.7359594490765272,0.8760560692903337,,,,,,,,ok,
n,100000,1,22189,cpu_4,100000,250,64,10,6.505719423294067,0.8407790146635412,0.9243399160437823,,,,,,,,ok,
n,100000,1,22189,cpu_8,100000,250,64,10,3.3273508548736572,0.8070189938515521,0.9080009867973448,,,,,,,,ok,
n,100000,1,22189,cpu_16,100000,250,64,10,1.8667378425598145,0.7808681093378196,0.8901995505917008,,,,,,,,ok,
n,100000,1,22189,cpu_36,100000,250,64,10,1.211745023727417,0.8047015082771191,0.8820243163378626,,,,,,,,ok,
n,100000,2,22190,cpu_4,100000,250,64,10,6.494519472122192,0.7752484795309519,0.8677335063401784,,,,,,,,ok,
n,100000,2,22190,cpu_8,100000,250,64,10,3.3277883529663086,0.814604237261932,0.8923623034291931,,,,,,,,ok,
n,100000,2,22190,cpu_16,100000,250,64,10,1.8434858322143555,0.6855928536791124,0.8389236588912931,,,,,,,,ok,
n,100000,2,22190,cpu_36,100000,250,64,10,1.2168612480163574,0.8103287449941791,0.8868197734383269,,,,,,,,ok,
n,100000,3,22191,cpu_4,100000,250,64,10,6.494440078735352,0.7012520716844389,0.8583475711897843,,,,,,,,ok,
n,100000,3,22191,cpu_8,100000,250,64,10,3.3707573413848877,0.7923841859981526,0.9018885533187708,,,,,,,,ok,
n,100000,3,22191,cpu_16,100000,250,64,10,1.8393101692199707,0.7484724937458956,0.8745182057232693,,,,,,,,ok,
n,100000,3,22191,cpu_36,100000,250,64,10,1.2137951850891113,0.7402001142363239,0.8875954294660291,,,,,,,,ok,
n,100000,4,22192,cpu_4,100000,250,64,10,6.494954586029053,0.6763993060957114,0.8780396393458394,,,,,,,,ok,
n,100000,4,22192,cpu_8,100000,250,64,10,3.326561689376831,0.685239916445297,0.8329724145740061,,,,,,,,ok,
n,100000,4,22192,cpu_16,100000,250,64,10,1.8671691417694092,0.8143420820980893,0.8909435694966146,,,,,,,,ok,
n,100000,4,22192,cpu_36,100000,250,64,10,1.226170539855957,0.7393826682948206,0.8637089315447568,,,,,,,,ok,
n,500000,0,22188,cpu_4,500000,250,64,10,34.034188985824585,0.8449932692067607,0.9310847068828332,,,,,,,,ok,
n,500000,0,22188,cpu_8,500000,250,64,10,17.573603630065918,0.8038117084307127,0.8891232587113151,,,,,,,,ok,
n,500000,0,22188,cpu_16,500000,250,64,10,9.851373672485352,0.7303826313929165,0.8726230304725403,,,,,,,,ok,
n,500000,0,22188,cpu_36,500000,250,64,10,6.44212794303894,0.7483491163510806,0.8749988694162306,,,,,,,,ok,
n,500000,1,22189,cpu_4,500000,250,64,10,34.06517267227173,0.7434858748257631,0.8650383484404884,,,,,,,,ok,
n,500000,1,22189,cpu_8,500000,250,64,10,17.606873989105225,0.823423032292692,0.8915784351280033,,,,,,,,ok,
